kind,name,http_requests,factory_present,documentation_slug,documentation_exists,directory_test_paths,provider_acceptance
patchmon,PatchMon,False,True,patchmon,True,packages/integrations/src/patchmon/test/patchmon-integration.spec.ts; packages/widgets/src/patchmon/test/layout-utils.spec.ts; packages/widgets/src/patchmon/test/stat-colors.spec.ts; packages/widgets/src/patchmon/test/threshold-validation.spec.ts,Not executed; shared tests may cover this integration
tracearr,Tracearr,False,True,tracearr,True,packages/widgets/src/tracearr/bitrate.spec.ts; packages/widgets/src/tracearr/component.spec.ts,Not executed; shared tests may cover this integration
speedtestTracker,Speedtest Tracker,True,True,speedtest-tracker,True,packages/integrations/src/speedtest-tracker/test/speedtest-tracker-types.spec.ts; packages/widgets/src/speedtest-tracker/helpers.spec.ts,Not executed; shared tests may cover this integration
uptimeKuma,Uptime Kuma,False,True,uptime-kuma,True,packages/integrations/src/uptime-kuma/test/uptime-kuma-integration.spec.ts; packages/widgets/src/uptime-kuma/aggregate.spec.ts,Not executed; shared tests may cover this integration
audiobookshelf,Audiobookshelf,True,True,audiobookshelf,True,,Not executed; shared tests may cover this integration
navidrome,Navidrome,False,True,navidrome,True,packages/integrations/src/navidrome/test/navidrome-integration.spec.ts,Not executed; shared tests may cover this integration
umami,Umami,False,True,umami,True,packages/integrations/src/umami/test/umami-integration.spec.ts; packages/widgets/src/umami/umami-layout.spec.ts,Not executed; shared tests may cover this integration
peaNut,PeaNUT,False,True,peanut,True,packages/integrations/src/peanut/test/peanut-integration.spec.ts,Not executed; shared tests may cover this integration
beszel,Beszel,False,True,beszel,True,packages/integrations/src/beszel/test/beszel-integration.spec.ts; packages/integrations/src/beszel/test/beszel-session.spec.ts; packages/integrations/src/beszel/test/pocketbase-realtime.spec.ts; packages/widgets/src/beszel/_shared/chart.spec.ts; packages/widgets/src/beszel/_shared/format.spec.ts,Not executed; shared tests may cover this integration
gluetun,Gluetun,False,True,gluetun,True,packages/integrations/src/gluetun/test/gluetun-integration.spec.ts,Not executed; shared tests may cover this integration
traefik,Traefik,False,True,traefik,True,packages/integrations/src/traefik/traefik-bounds.spec.ts; packages/integrations/src/traefik/traefik-integration.spec.ts; packages/widgets/src/traefik/component.spec.ts,Not executed; shared tests may cover this integration
archiveTeamWarrior,ArchiveTeam Warrior,False,True,archiveteam-warrior,True,,Not executed; shared tests may cover this integration
wud,What's Up Docker,False,True,whats-up-docker,True,,Not executed; shared tests may cover this integration
llamacpp,llama.cpp,False,True,llama-cpp,True,packages/integrations/src/llama-cpp/test/llamacpp-integration.spec.ts,Not executed; shared tests may cover this integration
