package,requested_catalog_or_alias,locked_versions,registry_latest_2026_09_22,latest_present_in_lock,advisory_records,note
@tanstack/react-query,^5.101.2,5.101.2,5.103.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tanstack/react-query-devtools,^5.101.2,5.101.2,5.103.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tanstack/react-query-next-experimental,^5.101.2,5.101.2,5.103.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tanstack/react-query-persist-client,^5.101.2,5.101.2,5.103.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@testcontainers/postgresql,^12.0.4,12.0.4,12.1.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@testcontainers/redis,^12.0.4,12.0.4,12.1.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-color,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-details,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-highlight,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-image,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-link,^3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-placeholder,^3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-table,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-table-cell,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-table-header,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-table-row,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-task-item,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-task-list,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-text-align,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-text-style,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/extension-underline,3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/react,^3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tiptap/starter-kit,^3.27.3,3.27.3,3.31.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@trpc/client,^11.18.0,11.18.0,11.19.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@trpc/next,^11.18.0,11.18.0,11.19.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@trpc/react-query,^11.18.0,11.18.0,11.19.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@trpc/server,^11.18.0,11.18.0,11.19.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@trpc/tanstack-react-query,^11.18.0,11.18.0,11.19.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tsconfig/docusaurus,,2.0.9,2.0.9,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@turbo/gen,^2.10.4,2.10.4,2.11.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/adm-zip,0.5.8,0.5.8,0.5.8,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/bcrypt,6.0.0,6.0.0,6.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/better-sqlite3,7.6.13,7.6.13,9.6.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/canvas-confetti,^1.9.0,1.9.0,1.9.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/chroma-js,3.1.2,3.1.2,3.1.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/cookies,0.9.2,0.9.2,0.9.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/crypto-js,^4.2.2,4.2.2,4.2.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/css-modules,^1.0.5,1.0.5,1.0.5,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/dockerode,^4.0.1,4.0.1,4.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/node,^24.13.3,17.0.45; 18.19.50; 24.13.2; 24.13.3,26.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/node-unifi,^2.5.1,2.5.1,2.5.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/pg,^8.20.0,8.20.0,8.23.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/prismjs,^1.26.6,1.26.6,1.26.6,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/react,19.2.17,19.2.17,19.3.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/react-dom,19.2.3,19.2.3,19.3.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/video.js,^7.3.58,7.3.58,7.3.58,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/ws,^8.18.1,8.18.1,8.18.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@types/xml2js,^0.4.14,0.4.14,0.4.14,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@uiw/react-codemirror,^4.25.11,,4.25.11,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@vitejs/plugin-react,^6.0.3,6.0.3,6.1.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@vitest/coverage-v8,^4.1.10,4.1.10,5.0.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@vitest/ui,^4.1.10,4.1.10,5.0.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@xterm/addon-canvas,^0.7.0,0.7.0,0.7.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@xterm/addon-fit,0.11.0,0.11.0,0.11.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@xterm/xterm,^6.0.0,6.0.0,6.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
acorn,^8.16.0,8.16.0,8.18.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
acorn-jsx,^5.3.2,5.3.2,5.3.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
adm-zip,0.6.0,0.6.0,0.6.1,False,2,Latest dist-tag comparison only; not upgrade compatibility advice
ai,^7.0.56,6.0.33; 7.0.56,7.0.109,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
ajv,8.18.0,6.15.0; 8.18.0,8.20.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
assistant-stream,0.3.34,0.3.34,0.3.44,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
babel-plugin-react-compiler,^1.0.0,1.0.0,1.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
bcrypt,^6.0.0,6.0.0,6.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
better-sqlite3,^12.11.1,12.11.1,13.0.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
canvas-confetti,^1.9.4,1.9.4,1.9.4,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
cheerio,,1.0.0-rc.12; 1.2.0,1.2.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
chroma-js,^3.2.0,3.2.0,3.2.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
class-variance-authority,,0.7.1,0.7.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
clsx,^2.1.1,2.1.1,2.1.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
cmdk,^1.1.1,,1.1.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
codemirror,^6.0.2,6.0.2,6.0.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
concurrently,^10.0.3,10.0.3,10.0.5,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
conventional-changelog-conventionalcommits,^10.2.0,10.2.0,10.4.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
cookie,2.0.1,0.7.2; 1.1.1; 2.0.1,2.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
cookies,^0.9.1,0.9.1,0.9.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
croner,10.0.1,10.0.1,10.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
cross-env,^10.1.0,10.1.0,10.1.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
crypto-js,^4.2.0,4.2.0,4.2.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
date-fns,^4.4.0,4.4.0,4.4.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
dayjs,^1.11.21,1.11.21,1.11.23,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
deepmerge,4.3.1,4.3.1,4.3.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
dns-caching,^0.2.9,0.2.9,0.2.9,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
dockerode,^5.0.1,5.0.0; 5.0.1,5.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
docusaurus-plugin-image-zoom,,3.0.1,3.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
dotenv,^17.4.2,16.6.1; 17.4.2,18.0.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
dotenv-cli,^11.0.0,11.0.0,11.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
drizzle-kit,^0.31.10,0.31.10,0.31.11,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
drizzle-orm,^0.45.2,0.45.2,0.45.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
drizzle-zod,^0.8.3,0.8.3,0.8.3,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
embla-carousel-react,^8.6.0,8.6.0,8.6.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
esbuild,^0.28.0,0.25.12; 0.27.7; 0.28.0; 0.28.1,0.28.2,False,1,Latest dist-tag comparison only; not upgrade compatibility advice
fast-xml-parser,^5.10.1,5.11.1,5.11.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
fastify,^5.9.0,5.9.0,5.12.5,False,2,Latest dist-tag comparison only; not upgrade compatibility advice
flag-icons,^7.5.0,7.5.0,7.5.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
glob,^13.0.6,10.5.0; 13.0.6,13.0.6,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
ical.js,^2.2.1,2.2.1,2.2.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
input-otp,^1.4.2,,1.5.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
ioredis,5.11.1,5.11.1,6.0.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
isomorphic-dompurify,^3.18.0,3.18.0,4.3.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
jotai,^2.20.1,2.20.1,3.0.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
jsdom,^29.1.1,29.1.1,30.1.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
json5,^2.2.3,2.2.3,2.2.3,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
jsonpath-plus,^10.4.0,10.4.0,10.4.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
jszip,^3.10.1,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
ldapts,8.1.8,8.1.8,9.2.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
leader-line-new,,1.1.9,1.1.9,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
lodash.clonedeep,^4.5.0,4.5.0,4.5.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
lucide-react,^1.24.0,1.24.0,1.47.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
mantine-contextmenu,^9.3.1,,9.4.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
mantine-datatable,^9.3.1,9.3.1,9.4.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
mantine-react-table,npm:mantine-react-table-open@9.0.3,9.0.3,9.0.6,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
maria2,^0.4.1,0.4.1,0.4.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
mermaid,^11.15.0,11.15.0,12.0.0,False,5,Latest dist-tag comparison only; not upgrade compatibility advice
motion,^13.0.0,,13.4.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
next,16.3.1,16.3.1,16.3.5,False,2,Latest dist-tag comparison only; not upgrade compatibility advice
next-auth,5.0.0-beta.32,5.0.0-beta.32,4.24.15,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
next-intl,4.13.1,4.13.1,4.14.6,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
next-themes,^0.4.6,0.4.6,0.4.6,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
node-loader,^2.1.0,2.1.0,2.1.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
octokit,^5.0.5,5.0.5,5.0.5,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
oxfmt,^0.58.0,0.58.0,0.70.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
oxlint,^1.73.0,1.73.0,1.85.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
pg,^8.22.0,8.22.0,8.23.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
pocketbase,^0.26.2,0.26.9,0.28.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
postcss,,8.5.18; 8.5.23,8.5.28,False,1,Latest dist-tag comparison only; not upgrade compatibility advice
postcss-preset-mantine,^1.18.0,1.18.0,1.18.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
posthog-docusaurus,,2.0.5,2.0.5,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
posthog-js,^1.399.1,1.399.2,1.434.7,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
posthog-node,^5.40.0,5.41.0,5.52.5,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
prism-react-renderer,,2.4.1,2.4.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
prismjs,^1.30.0,1.30.0,1.30.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
proxmox-api,1.1.1,1.1.1,1.1.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
react,19.2.7,19.2.7,19.3.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-day-picker,^10.0.1,,10.0.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-dom,19.2.7,19.2.7,19.3.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-error-boundary,^6.1.2,6.1.2,6.1.6,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-markdown,^10.1.0,10.1.0,10.1.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-quill-new,^3.8.3,3.8.3,3.8.3,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-resizable-panels,^4.12.2,,4.13.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-shiki,^0.11.0,0.11.0,0.11.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
react-simple-code-editor,^0.14.1,,0.14.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
recharts,^3.8.0,3.9.1,3.10.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
rehype-raw,^7.0.0,7.0.0,7.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
rehype-sanitize,^6.0.0,6.0.0,6.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
remark-breaks,^4.0.0,4.0.0,4.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
remark-directive,^3.0.1,3.0.1,4.0.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
remark-gfm,^4.0.1,4.0.1,4.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
sass,^1.101.0,1.101.0,1.104.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
semantic-release,^25.0.5,25.0.5,25.0.9,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
semver-parser,^4.2.1,4.2.1,4.2.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
sonner,^2.0.7,2.0.7,2.0.8,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
sql.js,^1.14.1,1.14.1,1.14.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
superjson,2.2.6,2.2.6,2.2.6,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
svgson,^5.3.1,5.3.1,5.3.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
swiper,,14.0.5,14.2.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
tailwind-merge,,3.5.0; 3.6.0,3.7.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
tailwindcss,,4.3.2,4.3.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
testcontainers,^12.0.4,12.0.4,12.1.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
timezones-ical-library,^2.2.1,2.2.1,2.3.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
trpc-to-openapi,^3.3.0,3.3.0,3.3.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
tsdav,^2.3.0,2.3.0,2.3.4,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
tsx,4.20.4,4.20.4; 4.21.0,4.23.15,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
turbo,^2.10.4,2.10.4,2.11.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
typescript,7.0.2,6.0.2; 7.0.2,7.0.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
typescript-compiler-api,npm:typescript@6.0.2,6.0.2,7.0.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
undici,7.29.1,6.23.0; 7.29.1; 8.10.2; 8.9.0,8.11.0,False,12,Latest dist-tag comparison only; not upgrade compatibility advice
use-deep-compare-effect,^1.8.1,1.8.1,1.8.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
