kind,source,source_exists,colocated_test_files,test_paths,direct_doc_paths,acceptance
smartHome-executeAutomation,packages/widgets/src/smart-home/execute-automation,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
stockPrice,packages/widgets/src/stocks,True,1,packages/widgets/src/stocks/component.spec.ts,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
mediaServer,packages/widgets/src/media-server,True,1,packages/widgets/src/media-server/component.spec.tsx,apps/docs/docs/widgets/media-server/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
calendar,packages/widgets/src/calendar,True,1,packages/widgets/src/calendar/calendar.spec.ts,apps/docs/docs/widgets/calendar/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
downloads,packages/widgets/src/downloads,True,1,packages/widgets/src/downloads/helpers.spec.ts,apps/docs/docs/widgets/downloads/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
mediaRequests-requestList,packages/widgets/src/media-requests/list,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
mediaRequests-requestStats,packages/widgets/src/media-requests/stats,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
mediaMissing,packages/widgets/src/media-missing,True,1,packages/widgets/src/media-missing/tabs.spec.ts,apps/docs/docs/widgets/media-missing/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
networkControllerSummary,packages/widgets/src/network-controller/summary,True,1,packages/widgets/src/network-controller/summary/display.spec.ts,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
networkControllerStatus,packages/widgets/src/network-controller/network-status,True,1,packages/widgets/src/network-controller/network-status/layout.spec.ts,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
rssFeed,packages/widgets/src/rssFeed,True,1,packages/widgets/src/rssFeed/feed-display.spec.ts,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
bookmarks,packages/widgets/src/bookmarks,True,1,packages/widgets/src/bookmarks/layout.spec.ts,apps/docs/docs/widgets/bookmarks/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
bazarr,packages/widgets/src/bazarr,True,1,packages/widgets/src/bazarr/layout.spec.ts,apps/docs/docs/widgets/bazarr/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
indexerManager,packages/widgets/src/indexer-manager,True,1,packages/widgets/src/indexer-manager/status.spec.ts,apps/docs/docs/widgets/indexer-manager/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
healthMonitoring,packages/widgets/src/health-monitoring,True,3,packages/widgets/src/health-monitoring/cluster/accordion-state.spec.ts; packages/widgets/src/health-monitoring/integration-selection.spec.ts; packages/widgets/src/health-monitoring/rings/cpu-temp-ring.spec.tsx,apps/docs/docs/widgets/health-monitoring/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
mediaTranscoding,packages/widgets/src/media-transcoding,True,1,packages/widgets/src/media-transcoding/layout.spec.ts,apps/docs/docs/widgets/media-transcoding/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
minecraftServerStatus,packages/widgets/src/minecraft/server-status,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
dockerContainers,packages/widgets/src/docker,True,2,packages/widgets/src/docker/component.spec.ts; packages/widgets/src/docker/layout.spec.ts,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
releases,packages/widgets/src/releases,True,2,packages/widgets/src/releases/display.spec.ts; packages/widgets/src/releases/query-options.spec.ts,apps/docs/docs/widgets/releases/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
firewall,packages/widgets/src/firewall,True,2,packages/widgets/src/firewall/bandwidth.spec.ts; packages/widgets/src/firewall/failure-state.spec.ts,apps/docs/docs/widgets/firewall/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
notifications,packages/widgets/src/notifications,True,1,packages/widgets/src/notifications/display.spec.ts,apps/docs/docs/widgets/notifications/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
mediaReleases,packages/widgets/src/media-releases,True,0,,apps/docs/docs/widgets/media-releases/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
systemResources,packages/widgets/src/system-resources,True,1,packages/widgets/src/system-resources/history.spec.ts,apps/docs/docs/widgets/system-resources/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
coolify,packages/widgets/src/coolify,True,1,packages/widgets/src/coolify/coolify-utils.spec.ts,apps/docs/docs/widgets/coolify/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
systemDisks,packages/widgets/src/system-disks,True,1,packages/widgets/src/system-disks/display.spec.ts,apps/docs/docs/widgets/system-disks/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
timetable,packages/widgets/src/timetable,True,0,,apps/docs/docs/widgets/timetable/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
immich-serverStats,packages/widgets/src/immich/server-stats,True,1,packages/widgets/src/immich/server-stats/layout.spec.ts,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
immich-albumCarousel,packages/widgets/src/immich/album-carousel,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
stats,packages/widgets/src/stats,True,0,,apps/docs/docs/widgets/stats/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
paperlessNgx,packages/widgets/src/paperless-ngx,True,0,,apps/docs/docs/widgets/paperless-ngx/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
patchmon,packages/widgets/src/patchmon,True,3,packages/widgets/src/patchmon/test/layout-utils.spec.ts; packages/widgets/src/patchmon/test/stat-colors.spec.ts; packages/widgets/src/patchmon/test/threshold-validation.spec.ts,apps/docs/docs/widgets/patchmon/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
tracearr,packages/widgets/src/tracearr,True,2,packages/widgets/src/tracearr/bitrate.spec.ts; packages/widgets/src/tracearr/component.spec.ts,apps/docs/docs/widgets/tracearr/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
speedtestTracker,packages/widgets/src/speedtest-tracker,True,1,packages/widgets/src/speedtest-tracker/helpers.spec.ts,apps/docs/docs/widgets/speedtest-tracker/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
uptimeKuma,packages/widgets/src/uptime-kuma,True,1,packages/widgets/src/uptime-kuma/aggregate.spec.ts,apps/docs/docs/widgets/uptime-kuma/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
audioStats,packages/widgets/src/audio-stats,True,1,packages/widgets/src/audio-stats/audio-stats-shared.spec.ts,apps/docs/docs/widgets/audio-stats/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
umami,packages/widgets/src/umami,True,1,packages/widgets/src/umami/umami-layout.spec.ts,apps/docs/docs/widgets/umami/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
vpn,packages/widgets/src/vpn,True,0,,apps/docs/docs/widgets/vpn/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
ups,packages/widgets/src/ups,True,1,packages/widgets/src/ups/component.spec.ts,apps/docs/docs/widgets/ups/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
beszelSystemTable,packages/widgets/src/beszel-system-table,True,1,packages/widgets/src/beszel-system-table/component.spec.ts,apps/docs/docs/widgets/beszel-system-table/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
beszelSystemGrid,packages/widgets/src/beszel-system-grid,True,1,packages/widgets/src/beszel-system-grid/display.spec.ts,apps/docs/docs/widgets/beszel-system-grid/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
beszelAlerts,packages/widgets/src/beszel-alerts,True,2,packages/widgets/src/beszel-alerts/display.spec.ts; packages/widgets/src/beszel-alerts/system-name-map.spec.ts,apps/docs/docs/widgets/beszel-alerts/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
beszelSystemStats,packages/widgets/src/beszel-system-stats,True,1,packages/widgets/src/beszel-system-stats/selection.spec.ts,apps/docs/docs/widgets/beszel-system-stats/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
traefik,packages/widgets/src/traefik,True,1,packages/widgets/src/traefik/component.spec.ts,apps/docs/docs/widgets/traefik/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
customApi,packages/widgets/src/custom-api,True,2,packages/widgets/src/custom-api/custom-jsx-display.spec.ts; packages/widgets/src/custom-api/migration-state.spec.ts,apps/docs/docs/widgets/custom-api/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
weather,packages/widgets/src/weather,True,1,packages/widgets/src/weather/component.spec.ts,apps/docs/docs/widgets/weather/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
wud,packages/widgets/src/wud,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
llamacpp,packages/widgets/src/llama-cpp,True,0,,apps/docs/docs/widgets/llama-cpp/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
